pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,st_teff
"Kepler-122 e","Kepler-122",37.99327300000,2.60000000,,6050.00
"Kepler-122 c","Kepler-122",12.46598800000,5.87000000,,6050.00
"Kepler-46 d","Kepler-46",6.76658900000,1.64000000,,5309.00
"Kepler-122 b","Kepler-122",5.76619300000,2.34000000,,6050.00
"Kepler-122 d","Kepler-122",21.58747500000,2.20000000,,6050.00
"Kepler-247 c","Kepler-247",9.43945200000,4.09000000,,5100.00
"Kepler-338 c","Kepler-338",24.31085600000,2.34000000,,5923.00
"Kepler-415 b","Kepler-415",4.17600000000,1.21000000,119.90000000,
"Kepler-122 f","Kepler-122",56.26800000000,1.75000000,36.00000000,
"Kepler-417 b","Kepler-417",12.33100000000,2.31000000,11.00000000,
"Kepler-414 c","Kepler-414",7.17100000000,3.01000000,29.90000000,
"Kepler-414 b","Kepler-414",4.70000000000,1.71000000,3.50000000,
"Kepler-417 c","Kepler-417",15.94300000000,,,
"Kepler-37 e","Kepler-37",51.19600000000,,,
"Kepler-415 c","Kepler-415",8.70800000000,,,
"bet Pic d","bet Pic",33200.00000000000,14.12331568,762.78817680,
"HD 134606 e","HD 134606",4.32030000000,,2.34000000,5576.00
"Kepler-1976 b","Kepler-1976",4.95931924400,12.21000000,,5712.00
"Kepler-416 d","Kepler-416",3.07644709000,1.61000000,,5670.00
"Kepler-411 e","Kepler-411",31.50972800000,,10.80000000,
"Kepler-411 c","Kepler-411",7.83443500000,4.42100000,26.40000000,
"Kepler-411 b","Kepler-411",3.00515600000,2.40100000,25.60000000,
"Kepler-411 d","Kepler-411",58.02035000000,3.31900000,15.20000000,
"Kepler-82 f","Kepler-82",75.73200000000,,20.90000000,
"Kepler-82 b","Kepler-82",26.44000000000,4.07000000,12.15000000,
"Kepler-82 c","Kepler-82",51.54000000000,5.34000000,13.90000000,
"WASP-126 b","WASP-126",3.28883000000,,90.30000000,5800.00
"Kepler-88 d","KOI-142",1403.00000000000,,965.14699656,5466.00
"KOI-142 c","KOI-142",22.26492000000,,214.10000000,5466.00
"KOI-142 b","KOI-142",10.91647000000,3.43800000,9.50000000,5466.00
"CoRoT-8 b","CoRoT-8",6.21229000000,6.39000000,69.92000000,5080.00
"Kepler-546 b","Kepler-546",4.14702025800,7.00000000,,5967.00
"HATS-7 b","HATS-7",3.18531500000,6.31066700,38.13960000,4985.00
"TOI-6954 b","TOI-6954",4.02074127419,3.63524486,,5170.87
"MASCARA-1 b","MASCARA-1",2.14877381000,17.90074218,,7490.00
"TOI-5800 b","TOI-5800",2.62788380000,2.46000000,9.50000000,4850.00
"HD 214823 b","HD 214823",1854.84424000000,,5914.78665427,
"Kepler-1518 b","Kepler-1518",5.11177904000,3.05000000,,6846.00
"K2-320 b","K2-320",1.99500000000,2.62000000,,3157.00
"OGLE-2018-BLG-1269L b","OGLE-2018-BLG-1269L",,,210.00000000,
"Kepler-1953 b","Kepler-1953",6.24565982800,1.28574667,,4858.00
"Kepler-324 b","Kepler-324",4.38531500000,1.14000000,,5194.00
"TOI-880.02","TOI-880",2.57571000000,2.19000000,,5050.00
"Kepler-375 c","Kepler-375",19.98632600000,2.65000000,,5826.00
"HD 101581 b","HIP 56998",4.46569000000,0.95600000,,4675.00
"EPIC 229004835 b","EPIC 229004835",16.14113200000,2.33200000,10.40000000,5868.00
"Kepler-1334 b","Kepler-1334",15.64591713000,2.29000000,,5614.00
"Kepler-337 c","Kepler-337",9.69320100000,2.05000000,,5684.00
"WASP-147 b","WASP-147",4.60273000000,12.49803500,87.40325000,5702.00
"TOI-3593 b","TOI-3593",3.82128670000,11.02963701,565.73456446,5550.00
"Kepler-999 b","Kepler-999",5.99185701700,2.34000000,,6237.00
"TOI-2443 b","TOI-2443",15.66858000000,2.36300000,4.80000000,4375.00
"OGLE-2011-BLG-0173L b","OGLE-2011-BLG-0173L",,,60.00000000,
"Kepler-722 b","Kepler-722",4.09357325200,2.63000000,,5863.00
"HD 191806 b","HD 191806",1603.38923000000,,2966.61035094,
"Kepler-11 f","Kepler-11",46.68880000000,2.49000000,2.00000000,5663.00
"Kepler-1226 b","Kepler-1226",17.29234530000,1.45000000,,5923.00
"TIC 437041147 b","TIC 437041147",3.82301421497,2.21526814,,5224.36
"K2-83 b","K2-83",2.74697000000,1.24400000,,3910.00
"Kepler-731 b","Kepler-731",3.85560355100,13.88000000,,5849.00
"HD 213240 b","HD 213240",882.70001000000,,1773.49140000,5979.00
"TOI-2154 b","TOI-2154",3.82408010000,16.28664896,292.40213444,6280.00
"TOI-2095 b","TOI-2095",17.66484000000,1.25000000,4.10000000,3759.00
"TOI-2095 c","TOI-2095",28.17232000000,1.33000000,7.40000000,3759.00
"TOI-1806.01","TOI-1806",15.14546930000,3.40953670,,3272.00
"TOI-4443.01","TOI-4443",1.84985670000,1.71932650,,5834.00
"TOI-1836 c","TOI-1836",1.77274710000,2.59987579,8.00000000,6237.00
"TOI-4153 b","TOI-4153",4.61741410000,16.11851425,365.50266805,6860.00
"TOI-286 b","TOI-286",4.51172440000,1.42000000,4.53000000,5152.00
"TOI-286 c","TOI-286",39.36182600000,1.88000000,3.72000000,5152.00
"TOI-1836 b","TOI-1836",20.38079900000,8.00321222,38.45723725,6380.00
"TOI-2285 b","TOI-2285",13.63510900000,1.77000000,,3491.00
"TOI-1422 b","TOI-1422",12.99894000000,3.83000000,9.50000000,
"TOI-1422 c","TOI-1422",34.56330000000,2.61000000,14.00000000,
"Kepler-561 b","Kepler-561",58.36204950000,6.96000000,,5646.00
"K2-138 g","K2-138",41.96797000000,3.01300000,4.32000000,5356.30
"HIP 29442 d","TOI-469",6.42957500000,1.53800000,5.14000000,5289.00
"HD 62364 c","HD 62364",74839.94555000000,,7923.46218651,
"Kepler-978 b","Kepler-978",49.62215090000,2.99000000,,6002.00
"HD 29985 b","HD 29985",20608.14049000000,,1739.47487151,
"GJ 682 b","GJ 682",17.47800000000,,4.40000000,3028.00
"Kepler-454 d","Kepler-454",4073.00000000000,,734.18362017,5687.00
"Kepler-338 d","Kepler-338",44.43101400000,3.00000000,,5923.00
"Kepler-416 c","Kepler-416",12.20900000000,,,
"Kepler-138 b","Kepler-138",10.31340000000,0.64000000,0.07000000,3841.00
"Kepler-138 c","Kepler-138",13.78150000000,1.51000000,2.30000000,3841.00
"Kepler-138 d","Kepler-138",23.09230000000,1.51000000,2.10000000,3841.00
"Kepler-138 e","Kepler-138",38.23000000000,,0.43000000,3841.00
"Kepler-1933 b","Kepler-1933",4.94329023400,1.17984089,,5661.00
"Kepler-1101 b","Kepler-1101",81.31510590000,2.47000000,,5614.00
"HD 18438 b","HD 18438",803.00000000000,,6674.39654700,3860.00
"HD 95735 c","GJ 411",2946.00000000000,,13.60000000,3719.00
"Kepler-292 d","Kepler-292",7.05567900000,2.23000000,,5299.00
"HD 45364 b","HD 45364",225.79000000000,,60.16491745,5466.00
"HATS-53 b","HATS-53",3.85377680000,15.02006000,189.10885000,5644.00
"Kepler-260 b","Kepler-260",8.18739900000,2.01000000,,5250.00
"TOI-4156 b","TOI-4156",4.46189034133,2.53823825,,5971.64
"Kepler-347 c","Kepler-347",27.32087100000,1.75000000,,6088.00
"HD 110014 b","HD 110014",835.47700000000,,3524.59000000,4445.00
"HD 220197 b","HD 220197",1728.00000000000,,63.56600000,5683.00
"WASP-37 b","WASP-37",3.57746900000,13.00200000,572.07000000,5800.00
"Kepler-335 c","Kepler-335",67.84446900000,3.07000000,,5877.00
"KOI-3503 c","KOI-3503",31.82800000000,1.21000000,10.36000000,6001.00
"WASP-46 b","WASP-46",1.43036763000,13.15936600,607.05530000,5600.00
"HD 115404 A c","HD 115404 A",15319.22517000000,,3279.67133183,
"Kepler-1507 b","Kepler-1507",16.05062130000,0.84000000,,5410.00
"K2-273 b","K2-273",11.71956630000,3.05000000,,5161.00
"TOI-1221 b","TOI-1221",91.68278000000,2.91000000,1112.39942450,5592.00
"Kepler-253 d","Kepler-253",18.11986900000,3.17000000,,5208.00
"CoRoT-4 b","CoRoT-4",9.20205000000,13.34000000,228.83000000,6190.00
"TOI-3894 b","TOI-3894",4.33454000000,15.27784069,260.61929374,6000.00
"Kepler-1038 b","Kepler-1038",148.46033820000,3.53000000,,5335.00
"Kepler-846 b","Kepler-846",19.80792185000,2.48000000,,5579.00
"Kepler-866 b","Kepler-866",2.61703253600,1.63000000,,4751.00
"KOI-884 e","Kepler-247",31.10165900000,,66.05405000,
"TOI-2411 b","TOI-2411",0.78269420000,1.68000000,,4099.00
"Kepler-301 c","Kepler-301",5.41902600000,1.35000000,,5815.00
"K2-409 b","K2-409",1.90808400000,2.48200000,,5742.00
"Kepler-37 b","Kepler-37",13.36702000000,0.30980000,0.79000000,5357.00
"Kepler-37 c","Kepler-37",21.30184800000,0.75500000,1.30000000,5357.00
"Kepler-37 d","Kepler-37",39.79226220000,2.03000000,2.00000000,5357.00
"TIC 46432937 b","TIC 46432937",1.44044527000,13.31626907,1017.05090240,3572.00
"TOI-2384 b","TOI-2384",2.13570304000,11.48920522,624.85064816,3943.00
"TOI-4562 b","TOI-4562",225.10640000000,,,6096.00
"TOI-4562 c","TOI-4562",3990.00000000000,,1833.86990839,6096.00
